Position ID,Action,Amount,Units,Open Rate,Close Rate,Spread,Profit,Open Date,Close Date,Take Profit Rate,Stop Loss Rate,Rollover Fees And Dividends,Is Real,Leverage,Notes
815711686,Buy Goldman Sachs Group Inc,10.81,0.046069,234.65,250.61,0.00,0.74,01/12/2020 14:59,22/12/2020 18:55,0.00,0.01,0.00,Real,,
777490954,Buy Goldman Sachs Group Inc,11.14,0.058475,190.51,250.61,0.00,3.51,02/11/2020 14:57,22/12/2020 18:55,0.00,0.01,0.05,Real,,
804299692,Buy Builders FirstSource Inc,10.88,0.296458,36.70,40.74,0.00,1.20,23/11/2020 16:23,22/12/2020 18:54,0.00,0.01,0.00,Real,,
790317201,Buy Builders FirstSource Inc,32.74,0.998780,32.78,40.74,0.00,7.95,10/11/2020 15:38,22/12/2020 18:54,0.00,0.01,0.00,Real,,
825184598,Buy Apple,4.10,0.032855,124.79,126.50,0.00,0.06,08/12/2020 18:16,21/12/2020 20:08,0.00,0.01,0.00,Real,,
835713931,Buy Apple,2.98,0.023270,128.06,126.50,0.00,-0.04,16/12/2020 20:38,21/12/2020 20:08,0.00,0.01,0.00,Real,,
842931844,Buy Apple,2.98,0.023844,124.98,126.50,0.00,0.04,21/12/2020 15:06,21/12/2020 20:08,1374.78,0.01,0.00,Real,,
833680786,Buy Exxon-Mobil,4.78,0.111422,42.90,41.93,0.00,-0.11,15/12/2020 17:55,21/12/2020 19:57,0.00,0.01,0.00,Real,,
818315375,Buy Synnex Corp,27.03,0.349405,77.36,79.97,0.00,0.91,02/12/2020 17:17,21/12/2020 17:37,0.00,0.01,0.00,Real,,
818363292,Buy Synnex Corp,10.81,0.139646,77.41,79.97,0.00,0.36,02/12/2020 17:49,21/12/2020 17:37,0.00,0.01,0.00,Real,,
835492912,Buy Shopify Inc.,5.97,0.005203,1147.51,1155.05,0.00,0.04,16/12/2020 17:56,21/12/2020 15:55,0.00,0.01,0.00,Real,,
819447385,Buy Spotify ,4.10,0.012351,331.96,328.49,0.00,-0.04,03/12/2020 15:16,21/12/2020 15:55,0.00,0.01,0.00,Real,,
835498924,Buy SolarEdge Technologies,2.98,0.009543,312.27,315.07,0.00,0.03,16/12/2020 18:00,21/12/2020 15:54,0.00,0.01,0.00,Real,,
835381304,Buy Norwegian Cruise Line Holdings,5.97,0.236529,25.24,24.37,0.00,-0.21,16/12/2020 16:46,21/12/2020 15:47,0.00,0.01,0.00,Real,,
835705213,Buy Facebook,2.98,0.010789,276.20,268.33,0.00,-0.08,16/12/2020 20:31,21/12/2020 15:46,0.00,0.01,0.00,Real,,
833713926,Buy Boeing,5.97,0.026026,229.39,215.22,0.00,-0.37,15/12/2020 18:01,21/12/2020 15:11,0.00,0.01,0.00,Real,,
833712731,Buy Carnival Corp,5.97,0.281073,21.24,20.22,0.00,-0.29,15/12/2020 17:59,21/12/2020 15:11,0.00,0.01,0.00,Real,,
833581157,Buy Spirit AeroSystems Holdings Inc,2.98,0.081644,36.50,35.48,0.00,-0.08,15/12/2020 17:08,21/12/2020 15:10,0.00,0.01,0.00,Real,,
833710880,Buy American Airlines Group Inc,11.34,0.677015,16.75,15.88,0.00,-0.59,15/12/2020 17:57,21/12/2020 15:10,0.00,0.01,0.00,Real,,
840647586,Buy Bitcoin,23.85,0.000995,23975.42,23021.68,0.17,-0.95,20/12/2020 18:39,21/12/2020 15:09,0.00,0.01,0.00,Real,,
792204936,Buy Crowdstrike Holdings,21.82,0.166998,130.66,207.00,0.00,12.75,11/11/2020 17:26,21/12/2020 14:39,0.00,0.01,0.00,Real,,
826386622,Buy Crowdstrike Holdings,24.87,0.142318,174.75,207.00,0.00,4.59,09/12/2020 15:38,21/12/2020 14:39,0.00,0.01,0.00,Real,,
818341104,Buy Crowdstrike Holdings,10.81,0.076358,141.57,207.00,0.00,5.00,02/12/2020 17:33,21/12/2020 14:39,0.00,0.01,0.00,Real,,
840590712,Buy Bitcoin,23.86,0.000992,24053.04,23733.90,0.18,-0.32,19/12/2020 20:35,19/12/2020 23:06,28100.00,0.01,0.00,Real,,
767535145,"Buy Tesla Motors, Inc.",26.69,0.062598,426.37,674.35,0.00,15.52,22/10/2020 14:50,18/12/2020 18:25,0.00,0.01,0.00,Real,,
769389181,"Buy Tesla Motors, Inc.",19.60,0.047187,415.37,674.35,0.00,12.22,26/10/2020 13:46,18/12/2020 18:25,0.00,0.01,0.00,Real,,
769390568,"Buy Tesla Motors, Inc.",19.60,0.046942,417.54,674.35,0.00,12.06,26/10/2020 13:47,18/12/2020 18:25,0.00,0.01,0.00,Real,,
